file,text
/audio/sentence1.wav,analyze sentiment of today is a good day
/audio/sentence2.wav,analyze sentiment of I am sad
/audio/sentence3.wav,analyze sentiment of I am funny
/audio/sentence4.wav,analyze sentiment of my dog jumps
/audio/sentence5.wav,analyze sentiment of she is beautiful
/audio/sentence6.wav,analyze sentiment of I am reading books
/audio/sentence7.wav,analyze sentiment of today is a good day
/audio/sentence8.wav,analyze sentiment of I am sad
/audio/sentence9.wav,analyze sentiment of I am funny
/audio/sentence10.wav,analyze sentiment of my dog jumps
/audio/sentence11.wav,analyze sentiment of she is beautiful
/audio/sentence12.wav,analyze sentiment of I am reading books
/audio/sentence13.wav,"analyze sentiment of I watch the money drip like morphine, It is the biggest addiction"
/audio/sentence14.wav,analyze sentiment of i am ever feeling nostalgic about the fireplace i will know that it is still on the property
/audio/sentence15.wav,analyze sentiment of i stopped feeling cold and began feeling hot
/audio/sentence16.wav,"analyze sentiment of If I were gifted with a canvas, I would paint you"
/audio/sentence17.wav,analyze sentiment of I didn't feel humiliated
/audio/sentence18.wav,analyze sentiment of I feel blessed amazed and yes very excited
/audio/sentence19.wav,analyze sentiment of I feel romantic too
/audio/sentence20.wav,analyze sentiment of I feel selfish and spoiled
/audio/sentence21.wav,"analyze sentiment of dumb and old on the inside, beautiful and young on the outside"
/audio/sentence22.wav,analyze sentiment of I have been with petronas for years I feel that petronas has performed well and made a huge profit
/audio/sentence23.wav,analyze sentiment of I feel incredibly isolated and lonely
/audio/sentence24.wav,analyze sentiment of I was feeling impatient and took pills
/audio/sentence25.wav,analyze sentiment of we need a little romantic boost in the relationship
/audio/sentence26.wav,analyze sentiment of she is completely lost without him
/audio/sentence27.wav,analyze sentiment of he is a little more adventurous
